ids	species	titles	summaries	documents
GSE86949	Mus musculus	RNAseq data from mouse beta-cells expressing mutant (GCK Y214C) versus wild-type Glucokinase	The goal of this study is to compare the transcriptome of mouse beta-cells expressing mutant constitutively active Glucokinase versus wild-type Glucokinase.	RNAseq data from mouse beta-cells expressing mutant (GCK Y214C) versus wild-type GlucokinaseThe goal of this study is to compare the transcriptome of mouse beta-cells expressing mutant constitutively active Glucokinase versus wild-type Glucokinase.
GSE86955	Mus musculus	Newborn and young adult (2 months) mouse dorsal skin cell culture time-series RNA-Seq	Organoid formation is critical to the progress of regenerative medicine. We use the formation of skin organoids from dissociated cells to study the self-organization process. Here we live-image the process which reveals an unexpectedly complex morphogenetic process: dissociated cells â aggregates â polarized cysts â fused cystsâ planar skin â hair placodes. Transcriptome profiling and functional testing show orderly expression peaks of adhesion molecules, insulin-like growth factors, Wnts, extracellular matrix molecules, and matrix metalloproteinases are crucial to the sequential morphological transitions. We draw an analogy between these self-organizing morphogenetic behaviours and the self-assembly of molecules in biophysics, with different morphological stages connected by phase transition-like switches. Adult cells, normally stalled as aggregates, can be restored to reform hairy skin by reactivation of the self-organization process with timely supply of molecular cues. Physical processes and molecular events may work in tandem to achieve organoid self-formation in tissue engineering and in vivo.	Newborn and young adult (2 months) mouse dorsal skin cell culture time-series RNA-SeqOrganoid formation is critical to the progress of regenerative medicine. We use the formation of skin organoids from dissociated cells to study the self-organization process. Here we live-image the process which reveals an unexpectedly complex morphogenetic process: dissociated cells â aggregates â polarized cysts â fused cystsâ planar skin â hair placodes. Transcriptome profiling and functional testing show orderly expression peaks of adhesion molecules, insulin-like growth factors, Wnts, extracellular matrix molecules, and matrix metalloproteinases are crucial to the sequential morphological transitions. We draw an analogy between these self-organizing morphogenetic behaviours and the self-assembly of molecules in biophysics, with different morphological stages connected by phase transition-like switches. Adult cells, normally stalled as aggregates, can be restored to reform hairy skin by reactivation of the self-organization process with timely supply of molecular cues. Physical processes and molecular events may work in tandem to achieve organoid self-formation in tissue engineering and in vivo.
GSE86956	Homo sapiens	Genes regulated by SPDEF or FOXA3 in A549 lung carcinoma cells [RNA-seq]	To identify genes regulated by SPDEF or FOXA3 in A549 lung carcinoma cells, we analyzed the whole-transcriptomic mRNA profiles of A549 cells expressing SPDEF or FOXA3 based on RNA-seq.	Genes regulated by SPDEF or FOXA3 in A549 lung carcinoma cells [RNA-seq]To identify genes regulated by SPDEF or FOXA3 in A549 lung carcinoma cells, we analyzed the whole-transcriptomic mRNA profiles of A549 cells expressing SPDEF or FOXA3 based on RNA-seq.
GSE86958	Homo sapiens	Transcriptome of invasive mucinous adnocarcinoma of the lung and adjacent normal lung tissues from 6 patients based on RNA-seq method	In order to identify genes that are highly expressed in human IMA, we performed mRNA-seq analysis using RNAs extracted from 6 human invasive mucinous adenocarcinoma of the lung (IMA) and adjacent normal lung tissues and determined genes differentially expressed in human IMA.	Transcriptome of invasive mucinous adnocarcinoma of the lung and adjacent normal lung tissues from 6 patients based on RNA-seq methodIn order to identify genes that are highly expressed in human IMA, we performed mRNA-seq analysis using RNAs extracted from 6 human invasive mucinous adenocarcinoma of the lung (IMA) and adjacent normal lung tissues and determined genes differentially expressed in human IMA.
GSE86962	Mus musculus	Profiling of CD34+ hair follicle stem cells	"RNA was isolated from fluorescence activated cell sorted (FACS) CD49f+/CD34+/GFP- hair follicle stem cells after hair follicle keratinocyte isolation from the skin of age matched saline or diphtheria toxin (DT) treated Lgr5-DTReGFP mice.The ""SAMPLE_ID"" sample characteristic is a sample identifier internal to Genentech.The ID of this project in Genentech's ExpressionPlot database is PRJ0009986"	"Profiling of CD34+ hair follicle stem cellsRNA was isolated from fluorescence activated cell sorted (FACS) CD49f+/CD34+/GFP- hair follicle stem cells after hair follicle keratinocyte isolation from the skin of age matched saline or diphtheria toxin (DT) treated Lgr5-DTReGFP mice.The ""SAMPLE_ID"" sample characteristic is a sample identifier internal to Genentech.The ID of this project in Genentech's ExpressionPlot database is PRJ0009986"
GSE86976	Mus musculus	Protein Kinase CK2 Controls the Fate Between Th17 Cell and Regulatory T Cell Differentiation	We report that CK2 inhibition with CX-4945 broadly suppresses Th17-associated effector and metabolic gene expression.  CD4+ T cells were cultured in IL-6, IL-23 and TGFb1 for 72 h, in the absence of presence of 2 mM CX-4945, RNA-seq was performed and gene expression compared between the control and treatment groups.	Protein Kinase CK2 Controls the Fate Between Th17 Cell and Regulatory T Cell DifferentiationWe report that CK2 inhibition with CX-4945 broadly suppresses Th17-associated effector and metabolic gene expression.  CD4+ T cells were cultured in IL-6, IL-23 and TGFb1 for 72 h, in the absence of presence of 2 mM CX-4945, RNA-seq was performed and gene expression compared between the control and treatment groups.
GSE86977	Homo sapiens	REGION-SPECIFIC NEURAL STEM CELL LINEAGES REVEALED BY SINGLE-CELL RNA-SEQ FROM HUMAN EMBRYONIC STEM CELLS [Cel-seq]	During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.	REGION-SPECIFIC NEURAL STEM CELL LINEAGES REVEALED BY SINGLE-CELL RNA-SEQ FROM HUMAN EMBRYONIC STEM CELLS [Cel-seq]During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.
GSE86982	Homo sapiens	REGION-SPECIFIC NEURAL STEM CELL LINEAGES REVEALED BY SINGLE-CELL RNA-SEQ FROM HUMAN EMBRYONIC STEM CELLS [Smart-seq]	During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.      During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.     During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.	REGION-SPECIFIC NEURAL STEM CELL LINEAGES REVEALED BY SINGLE-CELL RNA-SEQ FROM HUMAN EMBRYONIC STEM CELLS [Smart-seq]During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.      During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.     During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.
GSE86985	Homo sapiens	REGION-SPECIFIC NEURAL STEM CELL LINEAGES REVEALED BY SINGLE-CELL RNA-SEQ FROM HUMAN EMBRYONIC STEM CELLS [population]	During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.      During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.     During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.	REGION-SPECIFIC NEURAL STEM CELL LINEAGES REVEALED BY SINGLE-CELL RNA-SEQ FROM HUMAN EMBRYONIC STEM CELLS [population]During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.      During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.     During development of the human brain, multiple cell types with diverse regional identities are generated. Here we report a system to generate early human brain forebrain and mid/hindbrain cell types from human embryonic stem cells (hESCs), and infer and experimentally confirm a lineage tree for the generation of these types based on single-cell RNA-Seq analysis. We engineered SOX2Cit/+ and DCXCit/Y hESC lines to target progenitors and neurons throughout neural differentiation for single-cell transcriptomic profiling, then identified discrete cell types consisting of both rostral (cortical) and caudal (mid/hindbrain) identities. Direct comparison of the cell types were made to primary tissues using gene expression atlases and fetal human brain single-cell gene expression data, and this established that the cell types resembled early human brain cell types, including preplate cells. From the single-cell transcriptomic data a Bayesian algorithm generated a unified lineage tree, and predicted novel regulatory transcription factors. The lineage tree highlighted a prominent bifurcation between cortical and mid/hindbrain cell types, confirmed by clonal analysis experiments. We demonstrated that cell types from either branch could preferentially generated by manipulation of the canonical Wnt/beta-catenin pathway. In summary, we present an experimentally validated lineage tree that encompasses multiple brain regions, and our work sheds light on the molecular regulation of region-specific neural lineages during human brain development.
GSE86986	Homo sapiens	Association of the zonula adherens with mRNAs	We report the association of the zonula adherens with a set of mRNAs, through the E-cadherin-p120 catenin binding partner called PLEKHA7.	Association of the zonula adherens with mRNAsWe report the association of the zonula adherens with a set of mRNAs, through the E-cadherin-p120 catenin binding partner called PLEKHA7.
GSE86997	Mus musculus	Loss of Macf1 abolishes ciliogenesis and disrupts apicobasal polarity establishment in the retina	Microtubule actin crosslinking factor 1 (Macf1) plays a role in coordinated actions of actin and microtubules in multiple cellular processes. Here we show that Macf1 is also critical for ciliogenesis in multiple cell types. Ablation of Macf1 in the developing retina abolishes ciliogenesis and basal bodies fail to dock to ciliary vesicles or migrate apically. Photoreceptor polarity is randomized while inner retinal cells laminate correctly, suggesting that photoreceptor maturation is guided by polarity cues provided byÂ cilia. Deletion of Macf1 in adult photoreceptors caused reversal of basal body docking and loss of outer segments, reflecting a continuous requirement for Macf1 function. Macf1 was also shown to interact with ciliary proteins Mkks and Talpid3. We propose that a disruption of trafficking across microtubles to actin filaments underlies the ciliogenesis defect in cells lacking Macf1, and that Mkks and Talpid3 are involved in the coordination of microtubule and actin interactions.	Loss of Macf1 abolishes ciliogenesis and disrupts apicobasal polarity establishment in the retinaMicrotubule actin crosslinking factor 1 (Macf1) plays a role in coordinated actions of actin and microtubules in multiple cellular processes. Here we show that Macf1 is also critical for ciliogenesis in multiple cell types. Ablation of Macf1 in the developing retina abolishes ciliogenesis and basal bodies fail to dock to ciliary vesicles or migrate apically. Photoreceptor polarity is randomized while inner retinal cells laminate correctly, suggesting that photoreceptor maturation is guided by polarity cues provided byÂ cilia. Deletion of Macf1 in adult photoreceptors caused reversal of basal body docking and loss of outer segments, reflecting a continuous requirement for Macf1 function. Macf1 was also shown to interact with ciliary proteins Mkks and Talpid3. We propose that a disruption of trafficking across microtubles to actin filaments underlies the ciliogenesis defect in cells lacking Macf1, and that Mkks and Talpid3 are involved in the coordination of microtubule and actin interactions.
GSE87027	Mus musculus	Regulated inflammation and lipid metabolism in colon mRNA expressions of obese germfree mice responding to Enterobacter cloacae B29 combined with the high fat diet	Increased evidences demonstrated that gut microbiota targeted diet intervention can alleviate obesity and related metabolic disorders. The underlying mechanism of interactions among diet, microbiota and host still remains unclear. Enterobacter cloacae B29, an endotoxin-producing strain dominated in the gut of a morbidly obese volunteer (weight 174.8 kg, BMI 58.8 kg m-2) was isolated and transplanted to germfree mice. Using deep mRNA sequencing technology, we compared different gene expression profiles in the colon samples of the germfree mice before and after treated with B29 and/or high fat diet (HFD) and identified 279 differential expressed genes in total, including up-regulated genes Apoa4, Ido1, Cyp4a10, and down-regulated genes Cyp2e1, Cyp26b1, Akr1b7, Adipoq, Cyp1a1, Apoa1, Npc1l1, Tff2, Apoc1, Ctla2a, Mttp, Lpl. Fifty-nine GO biological processes and five KEGG pathways, particularly the Peroxisome proliferator-activated receptors (PPARs) signaling pathway, were significantly enriched in response to HFD+B29, which were mainly relevant to inflammation and the metabolism of lipid, lipoprotein and sterols. These functional changes were consistent with the developed obesity, insulin-resistance, and aggravated inflammatory conditions of the HFD+B29 mice. This work provides insight into the gene expression changes in response to HFD+B29, helping to understand the mechanism of the interactions among HFD, B29 and the germfree mice.	Regulated inflammation and lipid metabolism in colon mRNA expressions of obese germfree mice responding to Enterobacter cloacae B29 combined with the high fat dietIncreased evidences demonstrated that gut microbiota targeted diet intervention can alleviate obesity and related metabolic disorders. The underlying mechanism of interactions among diet, microbiota and host still remains unclear. Enterobacter cloacae B29, an endotoxin-producing strain dominated in the gut of a morbidly obese volunteer (weight 174.8 kg, BMI 58.8 kg m-2) was isolated and transplanted to germfree mice. Using deep mRNA sequencing technology, we compared different gene expression profiles in the colon samples of the germfree mice before and after treated with B29 and/or high fat diet (HFD) and identified 279 differential expressed genes in total, including up-regulated genes Apoa4, Ido1, Cyp4a10, and down-regulated genes Cyp2e1, Cyp26b1, Akr1b7, Adipoq, Cyp1a1, Apoa1, Npc1l1, Tff2, Apoc1, Ctla2a, Mttp, Lpl. Fifty-nine GO biological processes and five KEGG pathways, particularly the Peroxisome proliferator-activated receptors (PPARs) signaling pathway, were significantly enriched in response to HFD+B29, which were mainly relevant to inflammation and the metabolism of lipid, lipoprotein and sterols. These functional changes were consistent with the developed obesity, insulin-resistance, and aggravated inflammatory conditions of the HFD+B29 mice. This work provides insight into the gene expression changes in response to HFD+B29, helping to understand the mechanism of the interactions among HFD, B29 and the germfree mice.
GSE87040	Homo sapiens	Genomic and proteomic resolution of heterochromatin and its restriction of alternate fate genes (RNA-seq)	Heterochromatic regions in mammalian cells suppress recombination, silence transcription, and are crucial for maintaining cell differentiation. Genomic and biochemical characterization of heterochromatin has relied on the associated histone modifications H3K9me3 and H3K27me3, yet these marks are also found in euchromatic regions that permit transcription. We employed a biophysical method to isolate sonication resistant heterochromatin from human somatic cells, mapped its genomic organization compared to histone modifications, and used proteomics to reveal an extensive number of heterochromatin-bound proteins. We discriminate subtypes of H3K9me3- and H3K27me3-marked domains, in sonication-resistant heterochromatin versus euchromatin, and we present a resource of hundreds of proteins that preferentially bind heterochromatin, a set enriched for RNA-binding proteins and proteins that oppose iPS reprogramming. The sonication-resistant heterochromatin landscape includes repressed genes for alternative lineages that are resistant to activation by introduced transcription factors. Depletion of identified heterochromatin-associated proteins reduces this barrier, rendering alternative-lineage genes more competent for transcriptional activation.	Genomic and proteomic resolution of heterochromatin and its restriction of alternate fate genes (RNA-seq)Heterochromatic regions in mammalian cells suppress recombination, silence transcription, and are crucial for maintaining cell differentiation. Genomic and biochemical characterization of heterochromatin has relied on the associated histone modifications H3K9me3 and H3K27me3, yet these marks are also found in euchromatic regions that permit transcription. We employed a biophysical method to isolate sonication resistant heterochromatin from human somatic cells, mapped its genomic organization compared to histone modifications, and used proteomics to reveal an extensive number of heterochromatin-bound proteins. We discriminate subtypes of H3K9me3- and H3K27me3-marked domains, in sonication-resistant heterochromatin versus euchromatin, and we present a resource of hundreds of proteins that preferentially bind heterochromatin, a set enriched for RNA-binding proteins and proteins that oppose iPS reprogramming. The sonication-resistant heterochromatin landscape includes repressed genes for alternative lineages that are resistant to activation by introduced transcription factors. Depletion of identified heterochromatin-associated proteins reduces this barrier, rendering alternative-lineage genes more competent for transcriptional activation.
